EMPLOYEE#,SURNAME,GENDER,FIRST_NAME,Person Clevel,Position Clevel,Clevel3 Description,Clevel4 Description2,Clevel6 Description3,TITLE,CATEGORY,CLASSIFICATION,STEP#,JOB#,COMMENCE_DATE,OCCUP_TERM_DATE,Person FTE,Position FTE,EMP_STATUS,POSITION#
00667487,,F,,1B13AB090,1B13AB090,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Rural Properties,SMART Farms Research Associate,AC,ARB,04,18,19/Mar/2018 ,18/Feb/2019 ,0.6,0.6,TE,0000013995
00165703,,F,,1L02AB000,1L02AB000,"Research Centres, Institutes, CRCs",Animal Genetics & Breeding Unit,Animal Genetics & Breeding Unit,Associate Professor,AC,ARDUF,01,03,23/Dec/2016 ,30/Jun/2021 ,1,1,TE,0000006559
00670307,,M,,1B13AB010,1B13AB010,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Agronomy & Soil Science,"Leader, Soil Productivity Unit",AC,ATE,01,02,01/Jul/2018 ,30/Dec/2018 ,0.3,0.3,TE,0000011652
00178701,,F,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Senior Research Fellow,AC,ARC,01,33,01/Jul/2018 ,30/Jun/2019 ,0.8,0.8,TE,0000012890
00681378,,F,,1B12AC120,1B12AC120,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Music,Senior Lecturer in Music,AC,ATC,03,04,30/Jun/2018 ,31/Dec/2049 ,0.5,0.5,PE,0000014091
00681385,,F,,1N03AB000,1N03AB000,Facilities Management Services,FMS - Campus Services,FMS - Campus Services,Fleet Manager,GE,HEO6A,05,01,28/Oct/2017 ,31/Dec/2049 ,1,1,PE,0000008967
00690081,,M,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual Academic,AC,CA,01,02,01/Jul/2018 ,08/Mar/2019 ,0,0,CA,0000013391
00692013,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,01,01/Jul/2018 ,08/Mar/2019 ,0,0,CA,0000013329
00692040,,F,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual Academic,AC,CA,01,01,09/May/2018 ,08/Mar/2019 ,0,0,CA,0000014162
00024510,,M,,1N01AC000,1N01AC000,Information Technology Services,IT - Client Services,IT - Client Services,Team Leader - IT Service Desk,GE,HEO7A,05,02,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000010798
00667703,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Clinical Nurse Educator - Nursing,AC,CNE,01,07,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008547
00684924,,M,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual Student Rate 1,GE,HEOS1,01,05,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00678492,,F,,1F04AA000,1F04AA000,Audit & Risk Unit,Audit & Risk Unit,Audit and Risk Unit,Associate Director Audit and Risk,EXEC,369,,01,08/Oct/2017 ,07/Oct/2022 ,1,1,TE,0000012498
00688129,,F,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala ITAS Tutor,AC,ITAS,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CANL,0000006719
00674682,,M,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00022524,,M,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Professor,AC,ATE,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,3291
00171205,,F,,1G01AE000,1G01AE000,Financial Services,Statutory Reporting,Statutory Reporting,Accounts Officer,GE,HEO5A,05,05,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000012594
00672062,,F,,1L01AA000,1L01AA000,Research Services,Research Services,Research Services,Research Support Officer,GE,HEO5A,05,08,16/Oct/2017 ,31/Dec/2049 ,0.4,1,PE,0000008033
00682030,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,01,01/Jan/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00665344,,M,,1B13AB09A,1B13AB09A,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Rural Properties - Kirby,Farmhand,GE,HEO4A,03,10,06/Mar/2018 ,10/Dec/2018 ,0.4,0.4,TE,0000013975
00670166,,M,,1B13AE030,1B13AE030,Faculty of SABL,UNE Business School,UNE Business School - Economics,Senior Lecturer in Econometrics,AC,ATC,02,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009614
00676971,,F,,1B13AE030,1B13AE030,Faculty of SABL,UNE Business School,UNE Business School - Economics,Casual Academic,AC,CA,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013336
00011297,,M,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Casual Academic,AC,CA,01,51,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013335
00683897,,M,,1N01AC000,1N01AC000,Information Technology Services,IT - Client Services,IT - Client Services,Client Services Practitioner,GE,HEO5A,03,02,29/Aug/2017 ,31/Dec/2049 ,1,1,PE,0000010799
00677353,,M,,1K01AE000,1K01AE000,Teaching and Learning,Teaching Support,Teaching Support,Senior Learning Designer,GE,HEO8A,02,02,18/Sep/2017 ,31/Dec/2049 ,1,1,PE,0000013871
00691600,,M,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Casual Academic,AC,CA,01,01,30/Jun/2018 ,21/Dec/2018 ,0,0,CA,0000013347
00682142,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Casual General HEO6,GE,CAS6,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008627
00682702,,F,,1M06AB010,1M06AB010,UNE Sydney,Regional Study Centres,UNE Tamworth Centre,Casual General HEO 4,GE,CAS4,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008789
00679817,,M,,1B12AC150,1B12AC150,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - History,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013303
00023585,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Clinical Placement Officer,GE,HEO5A,04,01,27/Jun/2018 ,31/Dec/2049 ,0.71429,1,PE,0000008247
00670073,,F,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,First Year Advisor,AC,ATB,04,01,01/Feb/2018 ,31/Dec/2049 ,1,1,PE,0000012386
00689973,,M,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual Student Rate 2,GE,HEOS2,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00682145,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00687278,,M,,1N01AC000,1N01AC000,Information Technology Services,IT - Client Services,IT - Client Services,IT Standard Operating Environment (SOE) Engineer,GE,HEO6A,03,01,22/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000013158
00687483,,F,,1B12AC020,1B12AC020,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Communications & Media,Lecturer in Screen Studies,AC,ATB,02,01,06/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000012683
00688914,,F,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Senior Administration Officer (HDR and Plagiarism),GE,HEO7A,02,02,12/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000011387
00691322,,M,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO5,GE,CAS5,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00656767,,F,,1B12AC140,1B12AC140,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Classics & Ancient History,Senior Lecturer,AC,ATC,02,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009398
00682154,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00692005,,M,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual Academic,AC,CA,01,01,28/May/2018 ,08/Mar/2019 ,0,0,CA,0000013391
00667636,,M,,1B12AD000,1B12AD000,Faculty of HASS & Education,SiMERR,SiMERR,Research Fellow,AC,ARB,01,13,01/Jan/2018 ,31/Dec/2018 ,0.5,0.5,TE,0000012003
00673683,,F,,1B12AC010,1B12AC010,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - English,Casual Academic,AC,CA,01,16,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013993
00167754,,M,,1B12AC140,1B12AC140,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Classics & Ancient History,Professor,AC,ATE,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,2472
00677108,,M,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00688059,,F,,1K08AD000,1K08AD000,Student Success,Counselling & Careers,Counselling & Careers,Casual General HEO4,GE,CAS4,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008781
00692009,,M,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Casual General HEO 7,GE,CAS7,01,01,04/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008615
00025319,,F,,1M01AC000,1M01AC000,Marketing and Public Affairs,M & PA - Market Engagement,M & PA - Market Engagement,Web Officer,GE,HEO6A,05,05,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000011438
00669600,,M,,1L01AA000,1L01AA000,Research Services,Research Services,Research Services,Higher Degrees Research Assistant,GE,HEO4A,03,03,30/May/2018 ,31/Dec/2049 ,1,1,PE,0000008898
00051558,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Enrolments/ Progression Coordinator,GE,HEO7A,05,21,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009995
00054160,,M,,1K03AC040,1K03AC040,University Library,Scholarly Resources,Information Resources Access,Information Resources Assistant (Access),GE,HEO4A,04,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000009836
00670154,,F,,1B13AE010,1B13AE010,Faculty of SABL,UNE Business School,UNE Business School - Accounting & Finance,Casual Academic,AC,CA,01,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013334
00076474,,M,,1N03AC000,1N03AC000,Facilities Management Services,FMS - Operations,FMS - Operations,Carpenter,GE,HEO4A,04,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,1403
00661667,,M,,1N03AC000,1N03AC000,Facilities Management Services,FMS - Operations,FMS - Operations,Electrical Supervisor,GE,HEO5A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010319
00685081,,M,,1B12AC010,1B12AC010,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - English,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013993
00690281,,M,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala ITAS Tutor,AC,ITAS,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CANL,0000006719
00683035,,F,,1G03AA000,1G03AA000,Strategic Procurement,Strategic Procurement,Strategic Procurement,Procurement Specialist,GE,HEO6A,04,01,31/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000012907
00667247,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Senior Lecturer in Rural Medicine,AC,ATC,01,01,01/Jan/2018 ,31/Dec/2049 ,0.2,0.2,PE,0000011079
00691285,,F,,1N04AB000,1N04AB000,UNE Life,Yarm Gwanga,Yarm Gwanga,Casual General HEO1,GE,CAS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008457
00691657,,F,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual General HEO1,GE,CAS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00688969,,F,,1M01AE000,1M01AE000,Marketing and Public Affairs,M & PA - Future Students Team,M & PA - Future Students Team,Casual Student Rate 2,GE,HEOS2,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008944
00689301,,F,,1N02AE000,1N02AE000,Human Resource Services,HRS - Services and Support,HRS - Services and Support,Administration Assistant,GE,HEO3A,02,03,26/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000010349
00691453,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00691343,,F,,1B13AB080,1B13AB080,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Zoology,Postdoctoral Research Fellow,AC,ARA,03,01,17/Jan/2018 ,07/Jan/2021 ,1,1,TE,0000013906
00689540,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Student Rate 1,GE,HEOS1,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013788
00677263,,M,,1M01AE000,1M01AE000,Marketing and Public Affairs,M & PA - Future Students Team,M & PA - Future Students Team,Casual General HEO 4,GE,CAS4,01,09,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008944
00184311,,F,,1F01AA000,1F01AA000,University Secretariat,UNE Secretariat,UNE Secretariat,Casual General HEO4,GE,CAS4,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011540
00688388,,F,,1M01AE000,1M01AE000,Marketing and Public Affairs,M & PA - Future Students Team,M & PA - Future Students Team,Casual Student Rate 2,GE,HEOS2,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008944
00681795,,F,,1B12AC210,1B12AC210,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Sociology and Criminology,Casual Academic,AC,CA,01,05,01/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013299
00667601,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Head Teacher,GE,AELCH,03,04,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000012778
00183363,,F,,1B14AD020,1B14AD020,Faculty of Medicine & Health,School of Health,School of Health - Health Sciences,Lecturer,AC,ATB,01,03,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,578
00006781,,F,,1N05AB000,1N05AB000,UNE Residential System,Earle Page College,Earle Page College,Head of College (Earle Page),GE,HEO0A,01,15,13/Mar/2017 ,31/Dec/2049 ,1,1,PE,0000012326
00009184,,F,,1B14AD040,1B14AD040,Faculty of Medicine & Health,School of Health,School of Health - Counselling,Casual Academic,AC,CA,01,13,30/Jun/2018 ,21/Dec/2018 ,0,0,CA,0000013344
00610449,,M,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual General HEO5,GE,CAS5,01,11,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013088
00689656,,F,,1N01AA000,1N01AA000,Information Technology Services,Information Technology Services,Information Technology Services,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013354
00689851,,F,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Casual Academic,AC,CA,01,01,01/Jul/2018 ,08/Mar/2019 ,0,0,CA,0000013347
00690506,,F,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Casual General HEO7,GE,CAS7,01,01,30/Jun/2018 ,31/Dec/2018 ,0,0,CA,0000008615
00692222,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO 5,GE,CAS5,01,01,13/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013744
00662780,,F,,1K03AA000,1K03AA000,University Library,University Library,University Library,Casual General HEO3,GE,CAS3,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008839
00691969,,M,,1N05AE000,1N05AE000,UNE Residential System,Mary White College,Mary White College,Casual Student Rate 1,GE,HEOS1,01,01,23/Apr/2018 ,08/Mar/2019 ,0,0,CA,0000008881
00691320,,M,,1K03AC050,1K03AC050,University Library,Scholarly Resources,Information Resources Management,Electronic Resources Officer,GE,HEO5A,01,01,08/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000013629
00689693,,M,,1B12AD000,1B12AD000,Faculty of HASS & Education,SiMERR,SiMERR,IT Manager,GE,HEO7A,05,01,01/May/2018 ,31/Dec/2018 ,1,1,TE,0000012166
00677513,,M,,1N03AE000,1N03AE000,Facilities Management Services,FMS - Space Planning and Systems,FMS - Space Planning and Systems,Building and Design Coordinator,GE,HEO7A,02,01,11/Sep/2017 ,31/Dec/2049 ,1,1,PE,0000010275
00021746,,M,,1B12AC150,1B12AC150,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - History,Lecturer,AC,ATB,01,15,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009690
00688023,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Lecturer in Nursing,AC,ATB,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011496
00080374,,F,,1G01AD000,1G01AD000,Financial Services,Management Accounting,Management Accounting,Executive Assistant to the CFO,GE,HEO6A,05,01,13/Feb/2017 ,31/Dec/2049 ,1,1,PE,0000012608
00672452,,M,,1B14AD030,1B14AD030,Faculty of Medicine & Health,School of Health,School of Health - Health Management,Lecturer in Health,AC,ATB,03,05,29/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000008852
00669643,,M,,1B14AD030,1B14AD030,Faculty of Medicine & Health,School of Health,School of Health - Health Management,Associate Professor in Health Management,AC,ATD,01,03,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011837
00691165,,M,,1B13AE010,1B13AE010,Faculty of SABL,UNE Business School,UNE Business School - Accounting & Finance,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013334
00681926,,M,,1B12AC200,1B12AC200,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Linguistics,Lecturer in Linguistics,AC,ATB,05,05,12/Feb/2018 ,31/Dec/2049 ,1,1,PE,391
00182980,,M,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Associate Professor,AC,ATD,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009359
00179906,,F,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Lecturer in Law,AC,ATB,01,19,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012676
00681076,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Casual General HEO 4,GE,CAS4,01,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008627
00677449,,M,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Lecturer in law,AC,ATB,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011149
00679612,,M,,1B14AD040,1B14AD040,Faculty of Medicine & Health,School of Health,School of Health - Counselling,Casual Academic,AC,CA,01,03,30/Jun/2018 ,21/Dec/2018 ,0,0,CA,0000013344
00690264,,F,,1K03AC060,1K03AC060,University Library,Scholarly Resources,Library Content and Discovery,Senior Data Quality & Metadata Librarian,GE,HEO7A,03,01,03/Aug/2017 ,31/Dec/2049 ,1,1,PE,0000013630
00658874,,M,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Senior Lecturer,AC,ATC,04,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010515
00691753,,F,,1B14AD000,1B14AD000,Faculty of Medicine & Health,School of Health,School of Health Office,Casual Academic,AC,CA,01,01,30/Jun/2018 ,28/Sep/2018 ,0,0,CA,0000008544
00660514,,F,,1K03AA000,1K03AA000,University Library,University Library,University Library,"Curator, Cultural and Teaching Collections",GE,HEO7A,01,05,12/Mar/2018 ,07/Jan/2019 ,0.9,1,TE,0000010687
00674605,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Clinical Nurse Educator - Nursing,AC,CNE,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008547
00105622,,M,,1B12AC170,1B12AC170,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Peace Studies,Senior Lecturer,AC,ATC,01,27,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009168
00121109,,F,,1B12AB030,1B12AB030,Faculty of HASS & Education,School of Education,School of Education - Learning & Teaching,Senior Lecturer in Learning and Teaching,AC,ATC,03,08,30/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000006385
00664631,,M,,1B13AB060,1B13AB060,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Ecosystem Management,Casual Academic,AC,CA,01,09,05/Mar/2018 ,08/Mar/2019 ,0,0,CA,0000013314
00677277,,F,,1K03AD040,1K03AD040,University Library,Client Services,Library Research,Researcher Services Librarian,GE,HEO6A,05,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000013613
00662574,,F,,1N01AA000,1N01AA000,Information Technology Services,Information Technology Services,Information Technology Services,Project Manager,GE,HEO8A,05,01,05/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011063
00141688,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,School Resources & Project Coord.,GE,HEO6A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011400
00689517,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00677272,,M,,1B13AB090,1B13AB090,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Rural Properties,Casual General HEO2,GE,CAS2,01,01,30/Jun/2018 ,31/Dec/2018 ,0,0,CA,0000013317
00129615,,F,,1K01AF000,1K01AF000,Teaching and Learning,Academic Skills Office,Academic Skills Office,Casual Academic,AC,CA,01,16,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008737
00661281,,M,,1L02AB000,1L02AB000,"Research Centres, Institutes, CRCs",Animal Genetics & Breeding Unit,Animal Genetics & Breeding Unit,Senior Research Fellow,AC,ARC,05,01,01/Jan/2018 ,30/Jun/2021 ,1,1,TE,0000009980
00663408,,F,,1N04AB000,1N04AB000,UNE Life,Yarm Gwanga,Yarm Gwanga,General Assistant,GE,HEO2A,03,06,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000009508
00681083,,M,,1M06AA000,1M06AA000,UNE Sydney,UNE Sydney,UNE Sydney,Client Services Officer (IT & AV Support),GE,HEO6A,05,01,01/Feb/2018 ,31/Dec/2049 ,1,1,PE,0000012648
00676339,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Enrolments & Progression Officer,GE,HEO5A,04,07,01/Jan/2018 ,31/Dec/2049 ,0,1,PE,0000012445
00680349,,M,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00690949,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Clinical Nurse Educator - Nursing,AC,CNE,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008547
00161066,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Academic Manager,GE,HEO7A,05,06,01/Jan/2018 ,31/Dec/2049 ,0.8,0.8,PE,0000011807
00614578,,M,,1N03AC000,1N03AC000,Facilities Management Services,FMS - Operations,FMS - Operations,Carpentry Supervisor,GE,HEO5A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011113
00689328,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual General HEO4,GE,CAS4,01,03,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00691395,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Clinical Nurse Educator - Nursing,AC,CNE,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008547
00111953,,M,,1L02AB000,1L02AB000,"Research Centres, Institutes, CRCs",Animal Genetics & Breeding Unit,Animal Genetics & Breeding Unit,Senior Research Fellow,AC,ARDUF,01,06,23/Dec/2016 ,30/Jun/2021 ,1,1,TE,0000010387
00667779,,M,,1B13AC030,1B13AC030,Faculty of SABL,School of Science & Technology,School of S&T - Computer Science,Casual General HEO 6,GE,CAS6,01,08,14/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013700
00691530,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013788
00679365,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO4,GE,CAS4,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00687115,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Associate Lecturer in Nursing,AC,ATA,07,03,16/Jan/2018 ,09/Oct/2018 ,1,1,TE,0000011495
00688481,,F,,1B01AF110,1B14AB020,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Pharmacy,Casual Academic,AC,CA,01,02,13/Mar/2017 ,26/Oct/2018 ,0,0,CA,0000013519
00685946,,M,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008896
00691765,,M,,1B12AC050,1B12AC050,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Theatre Studies,Lecturer in Theatre Studies,AC,ATB,03,01,01/May/2018 ,31/Dec/2049 ,1,1,PE,0000013072
00687933,,F,,1B12AC180,1B12AC180,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Philosophy & Religion,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013305
